,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
158,59,-20,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",39,39,2,Atlanta,2024-10-24,City Weekly Pulse Songs
159,60,-9,28,Zach Bryan,26,51,10,Atlanta,2024-10-24,City Weekly Pulse Songs
160,61,Re-Entry,Slim Pickins,Sabrina Carpenter,61,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
161,62,-5,YOU DA ONE,LLOADED,57,57,6,Atlanta,2024-10-24,City Weekly Pulse Songs
162,63,-15,Flush Em,"Monaleo, Kaliii",38,48,5,Atlanta,2024-10-24,City Weekly Pulse Songs
163,64,-6,Jailbreak,"Waylon Wyatt, Bayker Blankenship",45,58,7,Atlanta,2024-10-24,City Weekly Pulse Songs
164,65,-20,I'm Still Fine,The Red Clay Strays,45,45,5,Atlanta,2024-10-24,City Weekly Pulse Songs
165,66,New,Con Toda La Fe,LOS DOS DE TAMAULIPAS,66,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
166,67,New,That’s So True,Gracie Abrams,67,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
167,68,-3,OKAY (Remix) [feat. Jeezy],"JT, Jeezy",3,65,5,Atlanta,2024-10-24,City Weekly Pulse Songs
168,69,-28,Winning Streak,Jelly Roll,41,41,2,Atlanta,2024-10-24,City Weekly Pulse Songs
169,70,-9,No Face,Drake,55,61,8,Atlanta,2024-10-24,City Weekly Pulse Songs
170,71,-9,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",46,62,4,Atlanta,2024-10-24,City Weekly Pulse Songs
171,72,+3,Greece Or Sweden (feat. Rylo Rodriguez),"NoCap, Rylo Rodriguez",72,75,2,Atlanta,2024-10-24,City Weekly Pulse Songs
172,73,-1,Wind Up Missin’ You,Tucker Wetmore,22,72,2,Atlanta,2024-10-24,City Weekly Pulse Songs
173,74,-18,120,Lil Tecca,47,56,5,Atlanta,2024-10-24,City Weekly Pulse Songs
174,75,New,Both Ways,Juice WRLD,75,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
175,76,-23,Late Checkout (feat. Hunxho),"Lil Durk, Hunxho",53,53,2,Atlanta,2024-10-24,City Weekly Pulse Songs
176,77,-14,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,34,63,15,Atlanta,2024-10-24,City Weekly Pulse Songs
177,78,-7,ALL RED,Playboi Carti,23,71,6,Atlanta,2024-10-24,City Weekly Pulse Songs
178,79,-24,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",33,55,4,Atlanta,2024-10-24,City Weekly Pulse Songs
179,80,-28,Thought of You,Sam Barber,52,52,2,Atlanta,2024-10-24,City Weekly Pulse Songs
180,81,New,Mint Tea,"Johnny Blue Skies, Sturgill Simpson",81,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
181,82,New,Drive Da Boat (feat. BabyChiefDoit),"BAK Jay, BabyChiefDoit",82,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
182,83,New,Options (feat. Lil Baby),"Jordan Adetunji, Lil Baby",83,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
183,84,-3,Dope Boy (with Nigo),"Young Thug, Nigo",37,81,4,Atlanta,2024-10-24,City Weekly Pulse Songs
184,85,-1,That's Who I Praise,Brandon Lake,20,84,13,Atlanta,2024-10-24,City Weekly Pulse Songs
185,86,+9,Just Want You (feat. Hunxho),"BabyDrill, Hunxho",6,95,12,Atlanta,2024-10-24,City Weekly Pulse Songs
186,87,-9,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",15,78,21,Atlanta,2024-10-24,City Weekly Pulse Songs
187,88,-5,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",66,83,7,Atlanta,2024-10-24,City Weekly Pulse Songs
188,89,–,BACK OUTSIDE (feat. Latto),"Anycia, Latto",46,89,2,Atlanta,2024-10-24,City Weekly Pulse Songs
189,90,New,First Rodeo,Kelsea Ballerini,90,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
190,91,+7,Giannis,Hurricane Wisdom,91,98,2,Atlanta,2024-10-24,City Weekly Pulse Songs
191,92,-18,I'm Sorry,"S4G4, Austin Awake",30,74,13,Atlanta,2024-10-24,City Weekly Pulse Songs
192,93,New,Kash Kommandments,Kash Doll,93,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
193,94,-2,I Ain't Sayin',Jordan Davis,78,92,3,Atlanta,2024-10-24,City Weekly Pulse Songs
194,95,+1,Hell is a Dance Floor,Vincent Mason,57,96,4,Atlanta,2024-10-24,City Weekly Pulse Songs
195,96,Re-Entry,4×4×U,Lainey Wilson,87,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
196,97,+2,Cozy,Braxton Keith,90,99,3,Atlanta,2024-10-24,City Weekly Pulse Songs
197,98,-12,Maxed Out,Bayker Blankenship,61,86,4,Atlanta,2024-10-24,City Weekly Pulse Songs
198,99,Re-Entry,Blue Devils (feat. DaBaby) - Remix,"Trap Dickey, DaBaby",63,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
199,100,-30,Gild the Lily,Billy Strings,43,70,4,Atlanta,2024-10-24,City Weekly Pulse Songs
200,1,New,2AM,BigXthaPlug,1,—,1,Austin,2024-10-24,City Weekly Pulse Songs
201,2,-1,Vision De Tunel,Hermanos Espinoza,1,1,7,Austin,2024-10-24,City Weekly Pulse Songs
202,3,New,Con Toda La Fe,LOS DOS DE TAMAULIPAS,3,—,1,Austin,2024-10-24,City Weekly Pulse Songs
203,4,New,Ends of the Earth,Ty Myers,4,—,1,Austin,2024-10-24,City Weekly Pulse Songs
204,5,+2,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",5,7,2,Austin,2024-10-24,City Weekly Pulse Songs
205,6,-3,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",3,3,2,Austin,2024-10-24,City Weekly Pulse Songs
206,7,New,Love Somebody,Morgan Wallen,7,—,1,Austin,2024-10-24,City Weekly Pulse Songs
207,8,New,House Again,Hudson Westbrook,8,—,1,Austin,2024-10-24,City Weekly Pulse Songs
208,9,-5,Cozy,Braxton Keith,1,4,31,Austin,2024-10-24,City Weekly Pulse Songs
209,10,+1,No Pasa Nada,"Clave Especial, Fuerza Regida",10,11,2,Austin,2024-10-24,City Weekly Pulse Songs
210,11,-3,Hecha Pa' Mí,Grupo Frontera,8,8,3,Austin,2024-10-24,City Weekly Pulse Songs
211,12,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",12,—,1,Austin,2024-10-24,City Weekly Pulse Songs
212,13,New,Noid,"Tyler, The Creator",13,—,1,Austin,2024-10-24,City Weekly Pulse Songs
213,14,+13,Algo Bien,Profugos De Nuevo Leon,1,27,27,Austin,2024-10-24,City Weekly Pulse Songs
214,15,-5,I Never Lie,Zach Top,4,10,27,Austin,2024-10-24,City Weekly Pulse Songs
215,16,+4,weren't for the wind,Ella Langley,16,20,3,Austin,2024-10-24,City Weekly Pulse Songs
216,17,New,Good Times (Bonus Track),Koe Wetzel,17,—,1,Austin,2024-10-24,City Weekly Pulse Songs
217,18,+5,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",13,23,4,Austin,2024-10-24,City Weekly Pulse Songs
218,19,-2,No One Noticed,The Marías,15,17,18,Austin,2024-10-24,City Weekly Pulse Songs
219,20,New,HIM ALL ALONG,Gunna,20,—,1,Austin,2024-10-24,City Weekly Pulse Songs
220,21,-9,Happy Face,Treaty Oak Revival,2,12,6,Austin,2024-10-24,City Weekly Pulse Songs
221,22,+6,DOS DÍAS,"Tito Double P, Peso Pluma",3,28,9,Austin,2024-10-24,City Weekly Pulse Songs
222,23,+3,LIL DEMON,Future,14,26,4,Austin,2024-10-24,City Weekly Pulse Songs
223,24,+15,On D Gas,"LEGADO 7, Kane Rodriguez",17,39,9,Austin,2024-10-24,City Weekly Pulse Songs
224,25,-1,Selena,"Peso Peso, That Mexican OT",6,24,6,Austin,2024-10-24,City Weekly Pulse Songs
225,26,+46,Barely Blue,Midland,14,72,5,Austin,2024-10-24,City Weekly Pulse Songs
226,27,-5,Break It Right Back,Megan Moroney,18,22,3,Austin,2024-10-24,City Weekly Pulse Songs
227,28,New,Welcome To The Plains,Wyatt Flores,28,—,1,Austin,2024-10-24,City Weekly Pulse Songs
228,29,+11,Que Vas a Hacer (Version Norteña),"Los Primos del Este, Nivel",29,40,4,Austin,2024-10-24,City Weekly Pulse Songs
