,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
229,30,-12,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",8,18,4,Austin,2024-10-24,City Weekly Pulse Songs
230,31,+3,What Kinda Man,Parker McCollum,2,34,6,Austin,2024-10-24,City Weekly Pulse Songs
231,32,+20,PERLA,Los Del North Texas,32,52,3,Austin,2024-10-24,City Weekly Pulse Songs
232,33,+12,AR (feat. BigXthaPlug),"MO3, That Mexican OT, BigXthaPlug",3,45,22,Austin,2024-10-24,City Weekly Pulse Songs
233,34,+4,Brokey,Latto,26,38,10,Austin,2024-10-24,City Weekly Pulse Songs
234,35,New,In a Moment,South Park Mexican,35,—,1,Austin,2024-10-24,City Weekly Pulse Songs
235,36,New,That’s So True,Gracie Abrams,36,—,1,Austin,2024-10-24,City Weekly Pulse Songs
236,37,Re-Entry,Sale Para Ser Feliz,Ivan Cornejo,12,—,1,Austin,2024-10-24,City Weekly Pulse Songs
237,38,+18,El Gabacho,"Código FN, Neton Vega, Gabito Ballesteros",38,56,2,Austin,2024-10-24,City Weekly Pulse Songs
238,39,+3,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",25,42,4,Austin,2024-10-24,City Weekly Pulse Songs
239,40,+22,Mi Escolta Por un Lado (MAMBO),Yahir Saldivar,40,62,2,Austin,2024-10-24,City Weekly Pulse Songs
240,41,New,Don’t Smile,Sabrina Carpenter,41,—,1,Austin,2024-10-24,City Weekly Pulse Songs
241,42,-13,She Wants To Go Dancing,Mt. Joy,29,29,2,Austin,2024-10-24,City Weekly Pulse Songs
242,43,+5,El Plumas,"Neton Vega, Luis R Conriquez",5,48,10,Austin,2024-10-24,City Weekly Pulse Songs
243,44,+10,LOS CUADROS,"Peso Pluma, Tito Double P",7,54,11,Austin,2024-10-24,City Weekly Pulse Songs
244,45,New,Apple featuring the japanese house,"Charli xcx, The Japanese House",45,—,1,Austin,2024-10-24,City Weekly Pulse Songs
245,46,-11,Run Your Mouth,Gavin Adcock,16,35,12,Austin,2024-10-24,City Weekly Pulse Songs
246,47,+4,28,Zach Bryan,5,51,16,Austin,2024-10-24,City Weekly Pulse Songs
247,48,+10,NEL,Fuerza Regida,6,58,8,Austin,2024-10-24,City Weekly Pulse Songs
248,49,+18,Tu Boda,"Oscar Maydon, Fuerza Regida",22,67,4,Austin,2024-10-24,City Weekly Pulse Songs
249,50,+19,A LA ORDEN,"Santa Fe Klan, Yahir Saldivar",4,69,22,Austin,2024-10-24,City Weekly Pulse Songs
250,51,New,Change My Mind,Riley Green,51,—,1,Austin,2024-10-24,City Weekly Pulse Songs
251,52,-3,Or What,"NLE Choppa, 41, Kyle Richh",49,49,4,Austin,2024-10-24,City Weekly Pulse Songs
252,53,New,ROCKMAN,Mk.gee,53,—,1,Austin,2024-10-24,City Weekly Pulse Songs
253,54,+5,Juna,Clairo,25,59,14,Austin,2024-10-24,City Weekly Pulse Songs
254,55,+11,No Face,Drake,22,66,8,Austin,2024-10-24,City Weekly Pulse Songs
255,56,New,Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",56,—,1,Austin,2024-10-24,City Weekly Pulse Songs
256,57,+17,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",54,74,11,Austin,2024-10-24,City Weekly Pulse Songs
257,58,-28,Thoughts of You,Ole 60,30,30,5,Austin,2024-10-24,City Weekly Pulse Songs
258,59,-45,Let's Go Back,Jungle,9,14,7,Austin,2024-10-24,City Weekly Pulse Songs
259,60,New,You For A Reason,Warren Zeiders,60,—,1,Austin,2024-10-24,City Weekly Pulse Songs
260,61,+26,One Take Freestyle,1900Rugrat,61,87,2,Austin,2024-10-24,City Weekly Pulse Songs
261,62,+13,End Up Gone,ian,62,75,3,Austin,2024-10-24,City Weekly Pulse Songs
262,63,New,Holding On,Bailey Zimmerman,63,—,1,Austin,2024-10-24,City Weekly Pulse Songs
263,64,+12,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",22,76,3,Austin,2024-10-24,City Weekly Pulse Songs
264,65,New,THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,65,—,1,Austin,2024-10-24,City Weekly Pulse Songs
265,66,-33,Levitating,RÜFÜS DU SOL,33,33,2,Austin,2024-10-24,City Weekly Pulse Songs
266,67,+17,Reflejando,Nivel,67,84,2,Austin,2024-10-24,City Weekly Pulse Songs
267,68,New,GEEK TIMË,Yeat,68,—,1,Austin,2024-10-24,City Weekly Pulse Songs
268,69,-44,CAVE (with Tove Lo),"Dom Dolla, Tove Lo",25,25,2,Austin,2024-10-24,City Weekly Pulse Songs
269,70,-57,Rodeo Clown,flipturn,13,13,3,Austin,2024-10-24,City Weekly Pulse Songs
270,71,New,Ain't Got Nothing On You,Leon Bridges,71,—,1,Austin,2024-10-24,City Weekly Pulse Songs
271,72,+9,NISSAN ALTIMA,Doechii,37,81,10,Austin,2024-10-24,City Weekly Pulse Songs
272,73,Re-Entry,Lo Que Hay X Aquí,La Receta,49,—,1,Austin,2024-10-24,City Weekly Pulse Songs
273,74,-11,25,Rod Wave,63,63,2,Austin,2024-10-24,City Weekly Pulse Songs
274,75,-69,Soup,Remi Wolf,6,6,15,Austin,2024-10-24,City Weekly Pulse Songs
275,76,Re-Entry,BROTHER STONE (FEAT. KODAK BLACK),"Don Toliver, Kodak Black",20,—,1,Austin,2024-10-24,City Weekly Pulse Songs
276,77,New,Sin Miedo - En Vivo,Edgardo Nuñez,77,—,1,Austin,2024-10-24,City Weekly Pulse Songs
277,78,+10,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",21,88,2,Austin,2024-10-24,City Weekly Pulse Songs
278,79,+14,Rey Sin Reina,Julión Álvarez y su Norteño Banda,27,93,7,Austin,2024-10-24,City Weekly Pulse Songs
279,80,Re-Entry,Peloteras,"El Makabelico, Yahir Saldivar, El Flako",14,—,1,Austin,2024-10-24,City Weekly Pulse Songs
280,81,Re-Entry,FIELD TRIP,"¥$, Kanye West, Ty Dolla $ign",50,—,1,Austin,2024-10-24,City Weekly Pulse Songs
281,82,-50,In The Living Room,Maggie Rogers,32,32,2,Austin,2024-10-24,City Weekly Pulse Songs
282,83,Re-Entry,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",40,—,1,Austin,2024-10-24,City Weekly Pulse Songs
283,84,New,I Dunn Swung,Hashi Senjoo,84,—,1,Austin,2024-10-24,City Weekly Pulse Songs
284,85,Re-Entry,Si No Quieres No,"Luis R Conriquez, Neton Vega",48,—,1,Austin,2024-10-24,City Weekly Pulse Songs
285,86,Re-Entry,Wanna Be Loved,The Red Clay Strays,6,—,1,Austin,2024-10-24,City Weekly Pulse Songs
286,87,-4,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,18,83,14,Austin,2024-10-24,City Weekly Pulse Songs
287,88,-33,Tree Birds,Dylan Gossett,55,55,2,Austin,2024-10-24,City Weekly Pulse Songs
288,89,-18,El Punto - Prod. by Ernesto Losa,"Charly & Johayron, Bebeshito, El Taiger, Ernesto Losa",61,71,3,Austin,2024-10-24,City Weekly Pulse Songs
289,90,-12,Thought of You,Sam Barber,78,78,2,Austin,2024-10-24,City Weekly Pulse Songs
290,91,+7,Sorry Not Sorry,"Lil Yachty, Veeze",39,98,9,Austin,2024-10-24,City Weekly Pulse Songs
291,92,+8,Wind Up Missin’ You,Tucker Wetmore,11,100,2,Austin,2024-10-24,City Weekly Pulse Songs
292,93,Re-Entry,The Thin Grey Line,$uicideboy$,17,—,1,Austin,2024-10-24,City Weekly Pulse Songs
293,94,Re-Entry,Get It Sexyy,Sexyy Red,6,—,1,Austin,2024-10-24,City Weekly Pulse Songs
294,95,Re-Entry,La Caravana,"Bandi2, Yahir Saldivar",32,—,1,Austin,2024-10-24,City Weekly Pulse Songs
295,96,-1,ALL RED,Playboi Carti,15,95,6,Austin,2024-10-24,City Weekly Pulse Songs
296,97,New,Chingo de Amor,La Fiera de Ojinaga,97,—,1,Austin,2024-10-24,City Weekly Pulse Songs
297,98,New,Me Quiero Un Chingo,"La Maquinaria Norteña, Conjunto Rienda Real",98,—,1,Austin,2024-10-24,City Weekly Pulse Songs
298,99,-13,DESIERTO,Becky G,86,86,2,Austin,2024-10-24,City Weekly Pulse Songs
299,100,Re-Entry,Flores,Xavi,39,—,1,Austin,2024-10-24,City Weekly Pulse Songs
300,1,New,Ends of the Earth,Ty Myers,1,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
301,2,New,Love Somebody,Morgan Wallen,2,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
302,3,New,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",3,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
303,4,New,2AM,BigXthaPlug,4,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
304,5,+2,Change My Mind,Riley Green,4,7,3,Charlotte,2024-10-24,City Weekly Pulse Songs
305,6,-3,Out The Door,Congress The Band,1,3,9,Charlotte,2024-10-24,City Weekly Pulse Songs
306,7,+4,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",1,11,19,Charlotte,2024-10-24,City Weekly Pulse Songs
307,8,New,House Again,Hudson Westbrook,8,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
308,9,New,Holding On,Bailey Zimmerman,9,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
309,10,-4,Break It Right Back,Megan Moroney,3,6,3,Charlotte,2024-10-24,City Weekly Pulse Songs
310,11,-6,Federal Nightmares,Rod Wave,5,5,2,Charlotte,2024-10-24,City Weekly Pulse Songs
311,12,+1,Run Your Mouth,Gavin Adcock,1,13,12,Charlotte,2024-10-24,City Weekly Pulse Songs
312,13,+1,weren't for the wind,Ella Langley,13,14,3,Charlotte,2024-10-24,City Weekly Pulse Songs
313,14,-6,Happy Face,Treaty Oak Revival,1,8,6,Charlotte,2024-10-24,City Weekly Pulse Songs
314,15,-11,Darkest Hour (Helene Edit),Eric Church,1,4,3,Charlotte,2024-10-24,City Weekly Pulse Songs
315,16,New,You For A Reason,Warren Zeiders,16,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
316,17,-5,One Take Freestyle,1900Rugrat,12,12,4,Charlotte,2024-10-24,City Weekly Pulse Songs
317,18,-8,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",1,10,13,Charlotte,2024-10-24,City Weekly Pulse Songs
318,19,-10,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",4,9,4,Charlotte,2024-10-24,City Weekly Pulse Songs
319,20,New,Good Times (Bonus Track),Koe Wetzel,20,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
320,21,-4,End Up Gone,ian,17,17,3,Charlotte,2024-10-24,City Weekly Pulse Songs
321,22,-6,Thoughts of You,Ole 60,9,16,5,Charlotte,2024-10-24,City Weekly Pulse Songs
322,23,-4,Brokey,Latto,13,19,10,Charlotte,2024-10-24,City Weekly Pulse Songs
323,24,-6,Gild the Lily,Billy Strings,18,18,3,Charlotte,2024-10-24,City Weekly Pulse Songs
324,25,New,Help Me 2,Real Boston Richey,25,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
325,26,-11,The Viper,BabyChiefDoit,15,15,4,Charlotte,2024-10-24,City Weekly Pulse Songs
326,27,New,HIM ALL ALONG,Gunna,27,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
327,28,New,Welcome To The Plains,Wyatt Flores,28,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
328,29,-2,I Never Lie,Zach Top,9,27,21,Charlotte,2024-10-24,City Weekly Pulse Songs
329,30,-7,Sorry Not Sorry,"Lil Yachty, Veeze",6,23,10,Charlotte,2024-10-24,City Weekly Pulse Songs
330,31,-6,LIL DEMON,Future,24,25,3,Charlotte,2024-10-24,City Weekly Pulse Songs
331,32,-6,Boots,Big Mo,20,26,6,Charlotte,2024-10-24,City Weekly Pulse Songs
332,33,-5,Tree Birds,Dylan Gossett,28,28,2,Charlotte,2024-10-24,City Weekly Pulse Songs
333,34,-10,Winning Streak,Jelly Roll,24,24,2,Charlotte,2024-10-24,City Weekly Pulse Songs
334,35,-5,28,Zach Bryan,7,30,11,Charlotte,2024-10-24,City Weekly Pulse Songs
335,36,-4,SportsCenter,BossMan Dlow,4,32,19,Charlotte,2024-10-24,City Weekly Pulse Songs
336,37,-6,F*cked A Fan,"Veeze, Rylo Rodriguez",10,31,15,Charlotte,2024-10-24,City Weekly Pulse Songs
337,38,+1,Jailbreak,"Waylon Wyatt, Bayker Blankenship",23,39,7,Charlotte,2024-10-24,City Weekly Pulse Songs
338,39,-1,Blue Devils (feat. DaBaby) - Remix,"Trap Dickey, DaBaby",15,38,9,Charlotte,2024-10-24,City Weekly Pulse Songs
339,40,New,Noid,"Tyler, The Creator",40,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
340,41,-6,U Kno What To Do (UKWTD),Sexyy Red,7,35,7,Charlotte,2024-10-24,City Weekly Pulse Songs
341,42,-6,HIGH RISE,Baby Kia,36,36,2,Charlotte,2024-10-24,City Weekly Pulse Songs
342,43,-14,Thought of You,Sam Barber,29,29,2,Charlotte,2024-10-24,City Weekly Pulse Songs
343,44,New,First Rodeo,Kelsea Ballerini,44,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
344,45,New,Gang Baby,NLE Choppa,45,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
345,46,-2,Wind Up Missin’ You,Tucker Wetmore,3,44,2,Charlotte,2024-10-24,City Weekly Pulse Songs
346,47,-7,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,2,40,15,Charlotte,2024-10-24,City Weekly Pulse Songs
347,48,Re-Entry,Wanna Be Loved,The Red Clay Strays,3,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
348,49,+19,Hangin’ On (feat. Morgan Wallen),"ERNEST, Morgan Wallen",7,68,28,Charlotte,2024-10-24,City Weekly Pulse Songs
349,50,New,PHAT,DaBaby,50,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
350,51,-5,I Ain't Sayin',Jordan Davis,22,46,13,Charlotte,2024-10-24,City Weekly Pulse Songs
351,52,New,That’s So True,Gracie Abrams,52,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
352,53,+6,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",20,59,7,Charlotte,2024-10-24,City Weekly Pulse Songs
353,54,-21,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",33,33,2,Charlotte,2024-10-24,City Weekly Pulse Songs
354,55,New,Mint Tea,"Johnny Blue Skies, Sturgill Simpson",55,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
355,56,New,Awaken,Breaking Benjamin,56,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
356,57,-6,BOP (feat. GloRilla),"Big Boogie, DJ Drama, GloRilla",12,51,2,Charlotte,2024-10-24,City Weekly Pulse Songs
357,58,+11,Cozy,Braxton Keith,54,69,14,Charlotte,2024-10-24,City Weekly Pulse Songs
358,59,New,GEEK TIMË,Yeat,59,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
359,60,New,Drive Da Boat (feat. BabyChiefDoit),"BAK Jay, BabyChiefDoit",60,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
360,61,–,Hell is a Dance Floor,Vincent Mason,12,61,35,Charlotte,2024-10-24,City Weekly Pulse Songs
361,62,-10,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",11,52,21,Charlotte,2024-10-24,City Weekly Pulse Songs
362,63,New,Helene (The Carolina Taping),Wesko,63,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
363,64,Re-Entry,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",16,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
364,65,-5,Cavalier,Juice WRLD,60,60,2,Charlotte,2024-10-24,City Weekly Pulse Songs
365,66,-3,Maxed Out,Bayker Blankenship,34,63,23,Charlotte,2024-10-24,City Weekly Pulse Songs
366,67,-3,Next Week,Sterling Elza,51,64,4,Charlotte,2024-10-24,City Weekly Pulse Songs
367,68,-26,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",20,42,4,Charlotte,2024-10-24,City Weekly Pulse Songs
368,69,-7,Slim Pickins,Sabrina Carpenter,21,62,9,Charlotte,2024-10-24,City Weekly Pulse Songs
369,70,+3,Anchor,49 Winchester,19,73,10,Charlotte,2024-10-24,City Weekly Pulse Songs
370,71,Re-Entry,4×4×U,Lainey Wilson,35,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
371,72,-51,She Wants To Go Dancing,Mt. Joy,21,21,2,Charlotte,2024-10-24,City Weekly Pulse Songs
372,73,-3,That's Who I Praise,Brandon Lake,8,70,13,Charlotte,2024-10-24,City Weekly Pulse Songs
373,74,Re-Entry,Demons In The Dark,"Money Man, Key Glock",40,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
374,75,-30,Backseat Driver,Kane Brown,45,45,2,Charlotte,2024-10-24,City Weekly Pulse Songs
375,76,-1,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",23,75,13,Charlotte,2024-10-24,City Weekly Pulse Songs
376,77,New,I Need Help,"Connor Price, Taylor Hill, Maverick City Music, Nick Day",77,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
377,78,New,Rollin' Stone,Blake Whiten,78,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
378,79,+8,Just Like Johnny,Redferrin,51,87,20,Charlotte,2024-10-24,City Weekly Pulse Songs
379,80,-9,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",43,71,4,Charlotte,2024-10-24,City Weekly Pulse Songs
380,81,-7,No Face,Drake,32,74,8,Charlotte,2024-10-24,City Weekly Pulse Songs
381,82,-17,120,Lil Tecca,30,65,5,Charlotte,2024-10-24,City Weekly Pulse Songs
382,83,Re-Entry,Beautiful As You,Thomas Rhett,20,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
383,84,+2,10-90,Muscadine Bloodline,14,86,5,Charlotte,2024-10-24,City Weekly Pulse Songs
384,85,-28,Stick to My Guns (feat. Riley Green),"Dylan Marlowe, Riley Green",22,57,4,Charlotte,2024-10-24,City Weekly Pulse Songs
385,86,New,love you to death,"Josiah Queen, Strings And Heart",86,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
386,87,+7,Darlin',Chase Matthew,38,94,3,Charlotte,2024-10-24,City Weekly Pulse Songs
387,88,-10,NISSAN ALTIMA,Doechii,52,78,9,Charlotte,2024-10-24,City Weekly Pulse Songs
388,89,-7,40 Mo' Reasons,MudBaby Ru,68,82,4,Charlotte,2024-10-24,City Weekly Pulse Songs
389,90,-9,No Rentals (feat. Big Yavo),"Lil Rae, Big Yavo",37,81,8,Charlotte,2024-10-24,City Weekly Pulse Songs
390,91,+7,What He'll Never Have,Dylan Scott,12,98,3,Charlotte,2024-10-24,City Weekly Pulse Songs
391,92,-9,It's ok I'm ok,Tate McRae,42,83,6,Charlotte,2024-10-24,City Weekly Pulse Songs
392,93,Re-Entry,Devil You Know,Tyler Braden,27,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
393,94,-18,Dead N****s (feat. Polo G & G Herbo),"VonOff1700, Polo G, G Herbo",48,76,4,Charlotte,2024-10-24,City Weekly Pulse Songs
394,95,New,Most Beautiful Design (feat. London On Da Track & Future),"Coco Jones, London On Da Track, Future",95,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
395,96,-5,MUTT,Leon Thomas,91,91,3,Charlotte,2024-10-24,City Weekly Pulse Songs
396,97,-7,OKAY,JT,10,90,13,Charlotte,2024-10-24,City Weekly Pulse Songs
397,98,Re-Entry,Sober Sundays,"The Castellows, Wyatt Flores",36,—,1,Charlotte,2024-10-24,City Weekly Pulse Songs
398,99,-7,A Work of Art,"Ice Nine Kills, SHAVO",92,92,2,Charlotte,2024-10-24,City Weekly Pulse Songs
399,100,-20,ALL RED,Playboi Carti,14,80,6,Charlotte,2024-10-24,City Weekly Pulse Songs
400,1,–,Bougie Hoes,YFG FATSO,1,1,10,Chicago,2024-10-24,City Weekly Pulse Songs
401,2,–,The Viper,BabyChiefDoit,2,2,4,Chicago,2024-10-24,City Weekly Pulse Songs
402,3,–,Dead N****s (feat. Polo G & G Herbo),"VonOff1700, Polo G, G Herbo",3,3,4,Chicago,2024-10-24,City Weekly Pulse Songs
403,4,–,BH4L,"BloodHound Q50, Bloodhound Lil Jeff",4,4,4,Chicago,2024-10-24,City Weekly Pulse Songs
404,5,–,Triple 3,"Bloodhound Lil Jeff, BloodHound Q50, Lil Scoom89",3,5,5,Chicago,2024-10-24,City Weekly Pulse Songs
405,6,+2,Need4Speed,Chuckyy,6,8,2,Chicago,2024-10-24,City Weekly Pulse Songs
406,7,-1,Made Me Mad Pt.1 (with BloodHound Q50),"Screwly G, BloodHound Q50",6,6,4,Chicago,2024-10-24,City Weekly Pulse Songs
407,8,New,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",8,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
408,9,New,Love Somebody,Morgan Wallen,9,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
409,10,+10,In The Living Room,Maggie Rogers,10,20,3,Chicago,2024-10-24,City Weekly Pulse Songs
410,11,–,3AM IN THE RAQ,"MAF Teeski, VonOff1700",1,11,30,Chicago,2024-10-24,City Weekly Pulse Songs
411,12,–,Influence,G Herbo,10,12,5,Chicago,2024-10-24,City Weekly Pulse Songs
412,13,-4,Runnin With Gravediggers (feat. Bloodhound Lil Jeff & Big Opp),"Lil Scoom89, Bloodhound Lil Jeff, Nolimit Faro",1,9,17,Chicago,2024-10-24,City Weekly Pulse Songs
413,14,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",14,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
414,15,–,Monitoring Me,Lil Durk,8,15,3,Chicago,2024-10-24,City Weekly Pulse Songs
415,16,New,Rabbit Hole,Monks In The Wood,16,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
416,17,-1,No Pasa Nada,"Clave Especial, Fuerza Regida",16,16,2,Chicago,2024-10-24,City Weekly Pulse Songs
417,18,New,Noid,"Tyler, The Creator",18,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
418,19,-5,Way of Life,La Tone,13,14,3,Chicago,2024-10-24,City Weekly Pulse Songs
419,20,+58,Pulp Fiction,ASTRA,20,78,2,Chicago,2024-10-24,City Weekly Pulse Songs
420,21,+1,Crying On The Floor,Lil king,21,22,2,Chicago,2024-10-24,City Weekly Pulse Songs
421,22,+2,End Up Gone,ian,22,24,3,Chicago,2024-10-24,City Weekly Pulse Songs
422,23,-2,LIL DEMON,Future,10,21,5,Chicago,2024-10-24,City Weekly Pulse Songs
423,24,-5,Leave Me Alone,BigXthaPlug,19,19,2,Chicago,2024-10-24,City Weekly Pulse Songs
424,25,-8,Hope I don’t crash,5dirtyVon,12,17,3,Chicago,2024-10-24,City Weekly Pulse Songs
425,26,New,Cloud 9,BEEVIE,26,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
426,27,-1,Lululemon,"Rell Vert, Lil Scoom89",20,26,10,Chicago,2024-10-24,City Weekly Pulse Songs
427,28,New,HIM ALL ALONG,Gunna,28,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
428,29,-19,Apple featuring the japanese house,"Charli xcx, The Japanese House",10,10,2,Chicago,2024-10-24,City Weekly Pulse Songs
429,30,New,Not Falling,Jacre,30,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
430,31,New,Holding On,Bailey Zimmerman,31,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
431,32,-1,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",16,31,4,Chicago,2024-10-24,City Weekly Pulse Songs
432,33,+2,Wayz Of A Soldier,Kadoe,4,35,33,Chicago,2024-10-24,City Weekly Pulse Songs
433,34,–,Feel This Way,TiyGangAce,15,34,11,Chicago,2024-10-24,City Weekly Pulse Songs
434,35,New,Both Ways,Juice WRLD,35,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
435,36,-9,Or What,"NLE Choppa, 41, Kyle Richh",27,27,5,Chicago,2024-10-24,City Weekly Pulse Songs
436,37,-9,NISSAN ALTIMA,Doechii,16,28,12,Chicago,2024-10-24,City Weekly Pulse Songs
437,38,New,That’s So True,Gracie Abrams,38,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
438,39,-9,Sorry Not Sorry,"Lil Yachty, Veeze",12,30,10,Chicago,2024-10-24,City Weekly Pulse Songs
439,40,New,Always On My Mind,Zeztra,40,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
440,41,-18,25,Rod Wave,23,23,2,Chicago,2024-10-24,City Weekly Pulse Songs
441,42,-5,Brokey,Latto,27,37,10,Chicago,2024-10-24,City Weekly Pulse Songs
442,43,-25,She Wants To Go Dancing,Mt. Joy,18,18,2,Chicago,2024-10-24,City Weekly Pulse Songs
443,44,-6,Vision De Tunel,Hermanos Espinoza,33,38,7,Chicago,2024-10-24,City Weekly Pulse Songs
444,45,New,Drive Da Boat (feat. BabyChiefDoit),"BAK Jay, BabyChiefDoit",45,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
445,46,New,Jefa,El Malo,46,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
446,47,+39,Change My Mind,Riley Green,47,86,3,Chicago,2024-10-24,City Weekly Pulse Songs
447,48,-4,F*cked A Fan,"Veeze, Rylo Rodriguez",23,44,15,Chicago,2024-10-24,City Weekly Pulse Songs
448,49,-7,Help Me,Real Boston Richey,21,42,16,Chicago,2024-10-24,City Weekly Pulse Songs
449,50,-7,28,Zach Bryan,8,43,14,Chicago,2024-10-24,City Weekly Pulse Songs
450,51,New,You For A Reason,Warren Zeiders,51,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
451,52,-11,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",22,41,4,Chicago,2024-10-24,City Weekly Pulse Songs
452,53,-13,HEY TU,GIANTHEO,40,40,3,Chicago,2024-10-24,City Weekly Pulse Songs
453,54,-4,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",43,50,11,Chicago,2024-10-24,City Weekly Pulse Songs
454,55,New,THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,55,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
455,56,Re-Entry,Always (LaLa Love You),Terrence & the High Flyers,32,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
456,57,+14,Arriba la Compañía,LOS DOS DE TAMAULIPAS,57,71,8,Chicago,2024-10-24,City Weekly Pulse Songs
457,58,New,ROCKMAN,Mk.gee,58,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
458,59,New,GEEK TIMË,Yeat,59,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
459,60,New,Vegeta,"M Row, G Herbo",60,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
460,61,-12,No One Noticed,The Marías,34,49,16,Chicago,2024-10-24,City Weekly Pulse Songs
461,62,New,Go Back (feat. Julia Church) - YDG Remix,"John Summit, Sub Focus, YDG, Julia Church",62,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
462,63,New,Juno,Sabrina Carpenter,63,—,1,Chicago,2024-10-24,City Weekly Pulse Songs
463,64,–,PERO NO TE ENAMORES,Fuerza Regida,23,64,3,Chicago,2024-10-24,City Weekly Pulse Songs
